salary_in_usd,prediction
170000,138172.54026026287
170884,137805.46027714055
171000,138172.54026026287
175000,138172.54026026287
175000,138172.54026026287
180000,137805.46027714055
181500,138172.54026026287
184000,138172.54026026287
184000,138172.54026026287
190000,139638.49822987302
202400,138172.54026026287
206699,138172.54026026287
243000,139788.43832525678
250000,138172.54026026287
250000,138172.54026026287
258000,138172.54026026287
260000,138172.54026026287
25000,167419.0516077844
36773,64436.457736649594
36773,64436.457736649594
42026,63339.47989106679
47899,88558.44246782144
48000,86899.95916920863
50000,165870.4917601387
50000,167419.0516077844
58400,165870.4917601387
60000,94759.97333244988
61520,99198.23936246273
61566,95752.55920762279
63000,165870.4917601387
63000,165870.4917601387
63000,167419.0516077844
63000,167419.0516077844
65000,165870.4917601387
65488,165870.4917601387
68293,64436.457736649594
68400,165870.4917601387
71363,99198.23936246273
72000,167419.0516077844
73000,165212.25613465306
73546,63339.47989106679
75000,165870.4917601387
75000,165870.4917601387
75000,165870.4917601387
75000,165870.4917601387
75000,167419.0516077844
75000,167419.0516077844
75577,63356.24200333428
76833,102227.85624537765
78000,165870.4917601387
78000,167419.0516077844
82500,165212.25613465306
84000,167419.0516077844
84800,165870.4917601387
85000,167419.0516077844
85000,167419.0516077844
90000,165870.4917601387
90000,165870.4917601387
90000,165870.4917601387
90000,165870.4917601387
90000,165870.4917601387
90000,167419.0516077844
90700,165870.4917601387
91000,165870.4917601387
92280,99198.23936246273
94000,165870.4917601387
94000,167419.0516077844
94500,165870.4917601387
